Country,Active military,Reserve military,Paramilitary,Total,"Per 1,000 capita (total)","Per 1,000 capita (active)",Ref
Togo,13750,0,5000,18750,2.1,1.5,[153]
Trinidad and Tobago,4050,0,0,4050,3.3,3.3,[144]
Tunisia,35800,0,12000,47800,4.0,3.0,[154]
Turkey,355200,378700,160800,894700,10.6,4.2,[155]
Turkmenistan,36500,0,20000,56500,9.8,6.4,[156]
Uganda,45000,10000,1400,56400,1.1,0.9,[157]
Ukraine,730000,0,260000,990000,27.8,20.5,[158]
United Arab Emirates,63000,0,0,63000,6.3,6.3,[159]
United Kingdom,141100,70450,0,211550,3.1,2.1,[160]
United States,1315600,797200,0,2112800,6.2,3.8,[161]
Uruguay,21100,0,1400,22500,6.6,6.2,[162]
Uzbekistan,48000,0,20000,68000,1.9,1.3,[163]
Venezuela,123000,8000,220000,351000,11.5,4.0,[164]
Vietnam,450000,5000000,40000,5490000,51.9,4.3,[165]
Yemen,40000,0,0,40000,1.3,1.3,[166]
Zambia,17100,3000,1400,21500,1.0,0.8,[167]
Zimbabwe,29000,0,21800,50800,3.0,1.7,[168]
